"state","college","recruits_count"
"AL","Alabama","6"
"AZ","Texas","1"
"AZ","Oklahoma","1"
"AZ","USC","1"
"AZ","Georgia","1"
"CA","USC","7"
"DC","Oklahoma","1"
"DC","Maryland","1"
"DC","South Carolina","1"
"FL","Georgia","10"
"GA","Georgia","11"
"IA","Alabama","1"
"IL","Michigan","1"
"IL","Missouri","1"
"KY","Notre Dame","1"
"LA","LSU","7"
"MA","Georgia","1"
"MA","Miami","1"
"MD","Alabama","2"
"MI","Wisconsin","1"
"MI","UCLA","1"
"MI","Michigan","1"
"MI","Alabama","1"
"MO","Oklahoma","1"
"MO","Texas A&M","1"
"MO","Oregon","1"
"MS","Ole Miss","2"
"NC","Clemson","3"
"NJ","Penn State","1"
"NJ","Alabama","1"
"NV","USC","2"
"OH","Ohio State","5"
"OK","Michigan","1"
"OK","Oklahoma","1"
"PA","Ohio State","2"
"PA","Penn State","2"
"SC","Clemson","2"
"SC","South Carolina","2"
"TN","Alabama","1"
"TN","Texas A&M","1"
"TN","Georgia","1"
"TX","Texas A&M","11"
"UT","Oregon","1"
"VA","Penn State","2"
"VA","North Carolina","2"
"WA","Ohio State","2"
"WA","Washington","2"
"WV","Tennessee","1"
